observation_id,species_key,species_common,species_type,species_role,observed_date,year,month,day,day_of_year,season,latitude,longitude,place_guess,scientific_name,quality_grade
252260845,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-11-17,2024,11,17,322,post_monsoon,13.0800718,77.5785151,"Vignana Kendra, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
253117990,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-11-23,2024,11,23,328,post_monsoon,11.912665323,76.2994490565,"Huralipura, Karnataka, Indien",Leptocoma zeylonica,research
253362161,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-11-28,2024,11,28,333,post_monsoon,12.7737086667,77.6180083333,"2817, Nandanavana Layout, Bukkasagara, Karnataka 560105, India",Leptocoma zeylonica,research
253714920,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-01,2024,12,1,336,winter,12.884407308,77.4637750368,"Bangalore, IN-KA, IN",Leptocoma zeylonica,research
254695111,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-08,2024,12,8,343,winter,12.2324546,76.6158942,"Kalalavadi, Karnataka 570008, India",Leptocoma zeylonica,research
255357935,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-17,2024,12,17,352,winter,12.9353283333,77.6163866667,"17th Cross Road, Bengaluru, Karnataka, IN",Leptocoma zeylonica,research
255407064,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-11-30,2024,11,30,335,post_monsoon,13.0169512352,77.5670911744,IISC Bangalore,Leptocoma zeylonica,research
255591692,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-15,2024,12,15,350,winter,13.1427874619,77.4878948137,"Bengaluru, Karnataka, India",Leptocoma zeylonica,research
255822631,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-15,2024,12,15,350,winter,12.2709066667,76.6164433333,"Ramakrishnanagar, Mysuru, Karnataka, India",Leptocoma zeylonica,research
256026549,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2021-04-10,2021,4,10,100,pre_monsoon,13.0657706,77.5678815,"3rd Cross Rd, Telecom Colony, Virupakshapura, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
256027435,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2021-04-15,2021,4,15,105,pre_monsoon,13.0657706,77.5678815,"3rd Cross Rd, Telecom Colony, Virupakshapura, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
256028321,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2021-04-17,2021,4,17,107,pre_monsoon,13.0652787,77.5626584,"Doddabommasandra Lake, Doddabommasandra, Bengaluru, Karnataka 560097",Leptocoma zeylonica,research
256029330,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2021-04-20,2021,4,20,110,pre_monsoon,13.0873671,77.609935,"Jakkur Lake, Agrahara, Bengaluru, Karnataka 560064",Leptocoma zeylonica,research
256290574,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-08-25,2024,8,25,238,monsoon,13.0611235795,77.766536884,"Bendiganahalli, Karnataka 562129, India ",Leptocoma zeylonica,research
256290583,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-08-25,2024,8,25,238,monsoon,13.0611235795,77.766536884,"Bendiganahalli, Karnataka 562129, India ",Leptocoma zeylonica,research
256401149,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-19,2024,10,19,293,post_monsoon,13.0873671,77.609935,"Jakkur Lake, Agrahara, Bengaluru, Karnataka 560064",Leptocoma zeylonica,research
256401549,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-19,2024,10,19,293,post_monsoon,13.0873671,77.609935,"Jakkur Lake, Agrahara, Bengaluru, Karnataka 560064",Leptocoma zeylonica,research
256402832,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-10-27,2024,10,27,301,post_monsoon,13.0427822157,77.4944056571,"2FRW+J3H, Rukmini Nagar, Bengaluru, Karnataka 560073, India ",Leptocoma zeylonica,research
256492979,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-04,2024,12,4,339,winter,13.0611235795,77.766536884,"Bendiganahalli, Karnataka 562129, India ",Leptocoma zeylonica,research
256492986,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-04,2024,12,4,339,winter,13.0611235795,77.766536884,"Bendiganahalli, Karnataka 562129, India ",Leptocoma zeylonica,research
256492990,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-04,2024,12,4,339,winter,13.0611235795,77.766536884,"Bendiganahalli, Karnataka 562129, India ",Leptocoma zeylonica,research
256601494,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-15,2024,12,15,350,winter,12.9157221141,77.6801714894,"Kaikondrahalli, Bengaluru, Karnataka, India",Leptocoma zeylonica,research
257266223,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-19,2024,12,19,354,winter,12.2934766667,76.6130533333,"Sharadadevi Nagar, Mysuru, Karnataka 570022, India",Leptocoma zeylonica,research
257599904,leptocoma_zeylonica,Purple-rumped Sunbird,bird,consumer,2024-12-28,2024,12,28,363,winter,12.4243603,76.6563492,"Ranganathittu Bird Sanctuary, Ranganathittu Rd, Srirangapatna, Karnataka 571438, India",Leptocoma zeylonica,research
