id,observed_on,user_login,quality_grade,url,image_url,place_guess,latitude,longitude,place_county_name,place_state_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
106112889,2022-01-26,karthik_83,research,https://www.inaturalist.org/observations/106112889,https://inaturalist-open-data.s3.amazonaws.com/photos/178194123/medium.jpg,"Bengaluru, Karnataka 560094, India",13.0345890308,77.5733401566,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
106112898,2022-01-29,karthik_83,research,https://www.inaturalist.org/observations/106112898,https://inaturalist-open-data.s3.amazonaws.com/photos/178194165/medium.jpg,"Bengaluru, Karnataka 560094, India",13.0345890308,77.5733401566,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
106853659,2020-11-09,karthi7,research,https://www.inaturalist.org/observations/106853659,https://static.inaturalist.org/photos/179596536/medium.jpeg,Honnali,14.2342494572,75.6469932944,Davanagere,Karnataka,Asian Koel (Indian),Eudynamys scolopaceus scolopaceus,Asian Koel (Indian),Aves,723524
107036600,2022-02-19,csbandi,research,https://www.inaturalist.org/observations/107036600,https://inaturalist-open-data.s3.amazonaws.com/photos/179942801/medium.jpeg,"WM4G+PM6, Kasavanahalli, Karnataka 560035, India",12.9065599167,77.6763610833,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
109026629,2022-03-20,nishantharvind,research,https://www.inaturalist.org/observations/109026629,https://static.inaturalist.org/photos/183679180/medium.jpeg,Bikkanahalli,12.8368153727,77.7593143657,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
109630546,2022-02-18,karthik_83,research,https://www.inaturalist.org/observations/109630546,https://inaturalist-open-data.s3.amazonaws.com/photos/184806594/medium.jpg,"Sanjayanagara, Bengaluru, Karnataka 560094, India",13.034732,77.57302,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
111166540,2022-04-06,vishal52,research,https://www.inaturalist.org/observations/111166540,https://static.inaturalist.org/photos/187632522/medium.jpeg,"College of Forestry, Ponnampet",12.1445376194,75.938203074,Kodagu,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
111523157,2022-04-15,mbumar,research,https://www.inaturalist.org/observations/111523157,https://inaturalist-open-data.s3.amazonaws.com/photos/188274918/medium.jpeg,Christ University,12.9344168264,77.606017068,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
115525421,2022-05-02,safwan0825,research,https://www.inaturalist.org/observations/115525421,https://inaturalist-open-data.s3.amazonaws.com/photos/194975414/medium.jpg,"6th Cross Road, Bengaluru, KA, IN",12.920060068,77.6476820351,Bangalore,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
116088876,2019-03-19,vishwanathgowda,research,https://www.inaturalist.org/observations/116088876,https://static.inaturalist.org/photos/195930954/medium.jpg,"Hampi, Karnataka 583239, India",15.3350132,76.460024,Bellary,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
116089013,2019-03-19,vishwanathgowda,research,https://www.inaturalist.org/observations/116089013,https://static.inaturalist.org/photos/195931162/medium.jpg,"Hampi, Karnataka 583239, India",15.3350132,76.460024,Bellary,Karnataka,Asian Koel,Eudynamys scolopaceus,Asian Koel,Aves,204510
